run,clients,measured_steps_per_client,seconds,output_tokens,prompt_tokens,training_tokens,output_tps,output_tps_per_client,training_tps,mean_step_seconds,train_call_seconds,publication_seconds,rollout_wait_seconds,mean_output_length,truncated_fraction,lilo_training_gpu,lilo_inference_gpu,lilo_total_gpu,tinker_training,tinker_output,tinker_prompt,tinker_total,tinker_total_no_cache,lilo_per_client,tinker_per_client,lilo_per_million_output,tinker_per_million_output
dapo-scale-v2-c01,1,6,302.381076335907,426707,55360,481683.0,1411.1564293989836,1411.1564293989836,1592.9667485703085,50.396544893582664,32.11967673016659,5.763994959833364,12.512371778833312,1111.2161458333333,0.12239583333333333,3.0504202980766295,3.0504202980766295,6.100840596153259,0.704702229,0.8512804650000001,0.01096128,1.5669439740000002,1.592520294,6.100840596153259,1.5669439740000002,14.297493587293527,3.6721778035045127
dapo-scale-v2-c02,2,6,421.2719678878784,833103,110664,942999.0,1977.5894517190625,988.7947258595312,2238.456559851092,68.59128922224045,45.11971928641666,13.67255717533331,9.79847625508332,1084.76953125,0.1015625,4.249791612052918,4.249791612052918,8.499583224105836,1.379607537,1.6620404850000001,0.021911472,3.0635594940000006,3.114686262,4.249791612052918,1.5317797470000003,10.20231979011699,3.677287795146579
dapo-scale-v2-c04,4,6,464.37731432914734,1763513,221416,1983393.0,3797.5864573566023,949.3966143391506,4271.08073284171,77.31883285442989,56.713720573375,10.51385580616666,10.089104858708316,1148.1204427083333,0.12044270833333333,4.684638346952438,4.684638346952438,9.369276693904876,2.901703959,3.5182084350000005,0.043840368000000005,6.463752762,6.566046954000001,2.342319173476219,1.6159381905,5.312848101434397,3.6652708327072157
dapo-scale-v2-c08,8,6,646.564110994339,3375125,455576,3827629.0,5220.093325021486,652.5116656276857,5919.952770211078,105.08574192225933,81.34911412583332,12.24752765460415,11.483547208208359,1098.6735026041667,0.11328125,6.522538751710892,6.522538751710892,13.045077503421783,5.5998212270000005,6.733374375,0.090204048,12.42339965,12.633875762,1.630634687927723,1.55292495625,3.8650649986065058,3.6808709751490687
dapo-scale-v4-c16,16,6,791.0481705665588,6636539,898560,7528955.0,8389.5510373873,524.3469398367063,9517.69472471906,115.11837219198544,63.60662300021874,33.80345459629165,17.704424363385407,1080.1658528645833,0.10725911458333333,7.9800939446754455,7.9800939446754455,15.960187889350891,11.014861165000001,13.239895305000001,0.17791488000000003,24.432671350000003,24.847806070000004,0.9975117430844307,1.5270419593750002,2.4048962703829346,3.6815381255199435
dapo-scale-v4-c32,32,6,1478.5185737609863,13747526,1791128,15526366.0,9298.17605539421,290.56800173106905,10501.299256934431,179.43393191198507,80.92132316715104,78.37195172289583,20.13196542457294,1118.7765299479167,0.11279296875,14.91529537210083,14.91529537210083,29.83059074420166,22.715073458,27.426314370000004,0.354643344,50.49603117200001,51.323532308000004,0.9322059607563019,1.5780009741250003,2.169887930686704,3.6730995214702635
